Land;Stadt;Kategorie;Stadtteil;Jahr;ledig;verheiratet;verwitwet;geschieden;lat;lon
de-sh;Kiel;Bevoelkerung;Vorstadt;31_12_2016;757;322;85;111;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;Exerzierplatz;31_12_2016;4227;1303;455;495;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;Damperhof;31_12_2016;2154;743;188;264;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;Brunswik;31_12_2016;4047;1415;435;523;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;Duesternbrook;31_12_2016;1657;1206;139;201;;
de-sh;Kiel;Bevoelkerung;Bluecherplatz;31_12_2016;6703;3165;460;897;;
de-sh;Kiel;Bevoelkerung;Wik;31_12_2016;10606;6487;1007;1637;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;Ravensberg;31_12_2016;8899;2244;389;854;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;Schreventeich;31_12_2016;7855;2739;481;832;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;Suedfriedhof;31_12_2016;10313;3081;780;1108;;
de-sh;Kiel;Bevoelkerung;Gaarden-Ost;31_12_2016;11473;4574;725;2134;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;Gaarden-Sued/Kronsburg;31_12_2016;5194;3796;684;1013;;
de-sh;Kiel;Bevoelkerung;Hassee;31_12_2016;6642;3697;723;1244;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;Hasseldieksdamm;31_12_2016;1180;1252;200;221;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;Ellerbek;31_12_2016;2704;2374;496;652;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;Wellingdorf;31_12_2016;3629;2921;649;884;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;Holtenau;31_12_2016;2567;2419;421;480;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;Pries;31_12_2016;3239;2979;507;768;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;Friedrichsort;31_12_2016;906;746;200;244;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;Neumuehlen/Dietrichsdorf;31_12_2016;6180;4315;876;1260;;
de-sh;Kiel;Bevoelkerung;Elmschenhagen;31_12_2016;7405;7249;984;1558;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;Suchsdorf;31_12_2016;3608;4521;615;670;54.3573804;10.0787571
de-sh;Kiel;Bevoelkerung;Schilksee;31_12_2016;1468;2620;538;471;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;Mettenhof;31_12_2016;9465;7620;1237;1637;54.3223529;10.0532291
de-sh;Kiel;Bevoelkerung;Russee;31_12_2016;2640;3541;412;520;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;Meimersdorf;31_12_2016;1512;1525;80;165;54.2747652;10.1101233
