Land;Stadt;Kategorie;Jahr;Stadtteil;evangelisch;katholisch;sonstige/ohne;lat;lon
de-sh;Kiel;Bevoelkerung;2015;Ellerbek;2041;401;3561;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;2015;Wellingdorf;2986;505;4519;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;2015;Holtenau;2350;333;3311;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;2015;Pries;3001;442;4007;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;2015;Friedrichsort;813;125;1157;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;2015;Neumuehlen/Dietrichsdorf;4734;700;6739;;
de-sh;Kiel;Bevoelkerung;2015;Elmschenhagen;6764;997;9431;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;2015;Suchsdorf;4126;678;4632;;
de-sh;Kiel;Bevoelkerung;2015;Schilksee;2057;357;2569;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;2015;Mettenhof;5200;2114;12401;;
de-sh;Kiel;Bevoelkerung;2015;Russee;2815;474;3768;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;2015;Meimersdorf;1161;195;1932;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;2015;Moorsee;706;134;1140;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;2015;Wellsee;1821;420;2967;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;2015;Roenne;208;16;204;;
